model_type,dataset_type,stem,original_path,watermarked_path,logmel_score,stft_score
audioseal,bonafide,E_0000078124,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000078124.flac,watermarked_audios/audioseal/bonafide/E_0000078124_watermarked.flac,0.3179726302623749,0.22492046654224396
audioseal,bonafide,E_0000421660,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000421660.flac,watermarked_audios/audioseal/bonafide/E_0000421660_watermarked.flac,0.35268712043762207,0.23280490934848785
audioseal,bonafide,E_0001595909,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001595909.flac,watermarked_audios/audioseal/bonafide/E_0001595909_watermarked.flac,0.42393097281455994,0.2636631727218628
audioseal,bonafide,E_0007074049,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007074049.flac,watermarked_audios/audioseal/bonafide/E_0007074049_watermarked.flac,0.3904247283935547,0.24900291860103607
audioseal,bonafide,E_0004685199,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004685199.flac,watermarked_audios/audioseal/bonafide/E_0004685199_watermarked.flac,0.32530322670936584,0.21968762576580048
audioseal,bonafide,E_0001438350,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001438350.flac,watermarked_audios/audioseal/bonafide/E_0001438350_watermarked.flac,0.3416309356689453,0.21653972566127777
audioseal,bonafide,E_0002462619,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002462619.flac,watermarked_audios/audioseal/bonafide/E_0002462619_watermarked.flac,0.4156094789505005,0.26698386669158936
audioseal,bonafide,E_0009026444,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009026444.flac,watermarked_audios/audioseal/bonafide/E_0009026444_watermarked.flac,0.342801570892334,0.23342932760715485
audioseal,bonafide,E_0003238793,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003238793.flac,watermarked_audios/audioseal/bonafide/E_0003238793_watermarked.flac,0.39438390731811523,0.2501378357410431
audioseal,bonafide,E_0006009442,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006009442.flac,watermarked_audios/audioseal/bonafide/E_0006009442_watermarked.flac,0.3613910973072052,0.27462509274482727
audioseal,bonafide,E_0003446314,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003446314.flac,watermarked_audios/audioseal/bonafide/E_0003446314_watermarked.flac,0.5031198859214783,0.29376113414764404
audioseal,bonafide,E_0003410016,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003410016.flac,watermarked_audios/audioseal/bonafide/E_0003410016_watermarked.flac,0.38726189732551575,0.3465251326560974
audioseal,bonafide,E_0006322730,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006322730.flac,watermarked_audios/audioseal/bonafide/E_0006322730_watermarked.flac,0.48830360174179077,0.3262350261211395
audioseal,bonafide,E_0008529666,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0008529666.flac,watermarked_audios/audioseal/bonafide/E_0008529666_watermarked.flac,0.39451828598976135,0.2660549581050873
audioseal,bonafide,E_0000439319,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000439319.flac,watermarked_audios/audioseal/bonafide/E_0000439319_watermarked.flac,0.38020169734954834,0.23385213315486908
audioseal,bonafide,E_0003340971,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003340971.flac,watermarked_audios/audioseal/bonafide/E_0003340971_watermarked.flac,0.37299293279647827,0.2519173324108124
audioseal,bonafide,E_0006306557,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006306557.flac,watermarked_audios/audioseal/bonafide/E_0006306557_watermarked.flac,0.4214574992656708,0.2614046633243561
audioseal,bonafide,E_0009364750,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009364750.flac,watermarked_audios/audioseal/bonafide/E_0009364750_watermarked.flac,0.3769836127758026,0.24905528128147125
audioseal,bonafide,E_0003617108,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003617108.flac,watermarked_audios/audioseal/bonafide/E_0003617108_watermarked.flac,0.2903323471546173,0.19474467635154724
audioseal,bonafide,E_0003062603,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003062603.flac,watermarked_audios/audioseal/bonafide/E_0003062603_watermarked.flac,0.35164377093315125,0.26084011793136597
audioseal,bonafide,E_0003264376,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003264376.flac,watermarked_audios/audioseal/bonafide/E_0003264376_watermarked.flac,0.523576557636261,0.33335837721824646
audioseal,bonafide,E_0005951172,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005951172.flac,watermarked_audios/audioseal/bonafide/E_0005951172_watermarked.flac,0.36061644554138184,0.24497130513191223
audioseal,bonafide,E_0006380916,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006380916.flac,watermarked_audios/audioseal/bonafide/E_0006380916_watermarked.flac,0.4077500104904175,0.24927251040935516
audioseal,bonafide,E_0001436568,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001436568.flac,watermarked_audios/audioseal/bonafide/E_0001436568_watermarked.flac,0.3927052319049835,0.2624683678150177
audioseal,bonafide,E_0009738554,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009738554.flac,watermarked_audios/audioseal/bonafide/E_0009738554_watermarked.flac,0.33703288435935974,0.21914042532444
audioseal,bonafide,E_0002141439,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002141439.flac,watermarked_audios/audioseal/bonafide/E_0002141439_watermarked.flac,0.34312304854393005,0.24633581936359406
audioseal,bonafide,E_0001585210,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001585210.flac,watermarked_audios/audioseal/bonafide/E_0001585210_watermarked.flac,0.40586796402931213,0.24972204864025116
audioseal,bonafide,E_0009692775,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009692775.flac,watermarked_audios/audioseal/bonafide/E_0009692775_watermarked.flac,0.35610952973365784,0.23308241367340088
audioseal,bonafide,E_0009497569,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009497569.flac,watermarked_audios/audioseal/bonafide/E_0009497569_watermarked.flac,0.5971100926399231,0.31500688195228577
audioseal,bonafide,E_0007164263,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007164263.flac,watermarked_audios/audioseal/bonafide/E_0007164263_watermarked.flac,0.283277302980423,0.19482067227363586
audioseal,bonafide,E_0004383331,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004383331.flac,watermarked_audios/audioseal/bonafide/E_0004383331_watermarked.flac,0.5083264112472534,0.3276178538799286
audioseal,bonafide,E_0008638873,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0008638873.flac,watermarked_audios/audioseal/bonafide/E_0008638873_watermarked.flac,0.5006912350654602,0.31363892555236816
audioseal,bonafide,E_0007632384,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007632384.flac,watermarked_audios/audioseal/bonafide/E_0007632384_watermarked.flac,0.33310720324516296,0.22549495100975037
audioseal,bonafide,E_0004130722,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004130722.flac,watermarked_audios/audioseal/bonafide/E_0004130722_watermarked.flac,0.3571696877479553,0.24725204706192017
audioseal,bonafide,E_0000704813,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000704813.flac,watermarked_audios/audioseal/bonafide/E_0000704813_watermarked.flac,0.32539647817611694,0.23328836262226105
audioseal,bonafide,E_0004427089,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004427089.flac,watermarked_audios/audioseal/bonafide/E_0004427089_watermarked.flac,0.3945004642009735,0.27675268054008484
audioseal,bonafide,E_0003374849,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003374849.flac,watermarked_audios/audioseal/bonafide/E_0003374849_watermarked.flac,0.42413097620010376,0.2840859293937683
audioseal,bonafide,E_0002480871,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002480871.flac,watermarked_audios/audioseal/bonafide/E_0002480871_watermarked.flac,0.34032657742500305,0.23642581701278687
audioseal,bonafide,E_0007701030,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007701030.flac,watermarked_audios/audioseal/bonafide/E_0007701030_watermarked.flac,0.29579877853393555,0.20438805222511292
audioseal,bonafide,E_0009031512,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009031512.flac,watermarked_audios/audioseal/bonafide/E_0009031512_watermarked.flac,0.3304708003997803,0.22466649115085602
audioseal,bonafide,E_0000709671,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000709671.flac,watermarked_audios/audioseal/bonafide/E_0000709671_watermarked.flac,0.3688434362411499,0.24188446998596191
audioseal,bonafide,E_0002656973,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002656973.flac,watermarked_audios/audioseal/bonafide/E_0002656973_watermarked.flac,0.3785744309425354,0.2518072724342346
audioseal,bonafide,E_0004291424,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004291424.flac,watermarked_audios/audioseal/bonafide/E_0004291424_watermarked.flac,0.35966965556144714,0.24727477133274078
audioseal,bonafide,E_0002303766,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002303766.flac,watermarked_audios/audioseal/bonafide/E_0002303766_watermarked.flac,0.6154986023902893,0.2914685010910034
audioseal,bonafide,E_0002000261,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0002000261.flac,watermarked_audios/audioseal/bonafide/E_0002000261_watermarked.flac,0.3099728226661682,0.21420074999332428
